Discount ${discount} For All Orders Over ${price}, Descuento de ${discount} para todos los pedidos superiores a ${price}.
Please select, Por favor, selecciona...
The page you requested does not exist., La página que solicitaste no existe
404 Page Not Found, 404 Página no encontrada
Attribute options, Opciones de atributos
Attribute Group, Grupo de atributos
Attribute group, Grupo de atributos
Attributes, Atributos
Attribute Name, Nombre atributo
Are you sure?, ¿Esta seguro?
Add product, Añadir producto
Add image, Añadir imagen
All customers, Todos los clientes
Address, Dirección
All products, Todos los productos
Activities, Actividades
Attribute saved successfully!, ¡Atributo guardado exitosamente!
Add products, Añadir Productos
Attribute code, Código atributo
Back To Dashboard, Volver al panel de control
Best customers, Los mejores clientes
Best Sellers, Los más vendidos
Basic configuration, Configuración básica
Base calculation address, Dirección de cálculo base
Based on order price, Basado en el precio del pedido
Based on order weight, Basado en el peso del pedido
Black, Negro
Buy X get Y, Compra X y obtén Y
Billing address, Dirección de Envio
Catalog, Catálogo
Customers, Clientes
Customer, Cliente
Customer notes, Notas del cliente
Categories, Categorias
Collections, Colecciones
Category banner, Banner de categoría
Cancel, Cancelar
Create A New Product, Crear un nuevo producto
Code, Código
City, Ciudad
Customer was notified, El cliente fue notificado
click to upload an image, Haga clic para cargar una imagen
Contact Information, Información del contacto
Category saved successfully!, ¡Categoría guardada exitosamente!
Clear filter, Limpiar filtro
Collection Name, Nombre colección
Continue shopping, Continuar comprando
Create a new group, Crear un nuevo grupo
Create A New Attribute, Crear un nuevo atributo
Create new shipping zone, Crear nueva zona de envío
Create A New Customer, Crear un nuevo cliente
Create new tax class, Crear nueva clase de impuesto
Change, Cambiar
Client ID, ID Cliente
Can&apos;t be undone, No se puede deshacer
Complete shipment, Envío completo
Create A New category, Crear nueva categoría
Create A New Collection, Crear una nueva colección
Category Name, Nombre categoría
Category, Categoría
Copyright © 2021 EverShop, Derechos reservados © 2024 Badajoz
Choose where you ship and how much you charge for shipping., Elige dónde enviar y cuánto cobrar por el envío.
Collection saved successfully!, ¡Colección guardada exitosamente!
Can not change the attribute group of a product that is already in a variant group., No se puede cambiar el grupo de atributos de un producto que ya está en un grupo de variantes.
Configurable, Configurable
Configure tax classes and tax rates, Configurar clases de impuestos y tasas de impuestos
Create A New Page, Crear una nueva página
Contact information, Información del contacto
Configure the available payment methods, Configurar los métodos de pago disponibles
Configure the tax classes that will be available to your customers at checkout., Configure las clases de impuestos que estarán disponibles para sus clientes en el momento del pago.
Cms Pages, Páginas CMS
Content, Contenido
Capture, Captura
Coupon code, Código de cupón
Customer Email, Correo electrónico del cliente
Carrier, Transportador
Created At, Creado en
Completed, Completado
Country, País
Currency, Moneda
Configure your store information, Configura la información de tu tienda
Customer email (empty for all), Correo electrónico del cliente (vacío para todos)
Coupons, Cupones
Cancelled, Cancelado
Create A New Coupon, Crear un nuevo cupón
Coupon saved successfully!, ¡Cupón guardado exitosamente!
Client Secret, Secreto del cliente
Cash On Delivery Payment, Pago contra reembolso
Customer's purchase, Compra del cliente
Customer conditions, Condiciones del cliente
Customer does not have any order yet., El cliente no tiene ningún pedido todavía.
Delete, Borrar
Delete ${selectedIds.length} pages, Eliminar ${selectedIds.length} páginas
Delete ${selectedIds.length} collections, Eliminar ${selectedIds.length} colecciones
Description, Descripción
Dashboard, Panel de Control
Daily, Diario
Date, Fecha
Discount amount, Importe del descuento
Delete ${selectedIds.length} products, Eliminar ${selectedIds.length} productos
Delete ${selectedIds.length} coupons, Eliminar ${selectedIds.length} cupones
Disabled, Deshabilitado 
Disable ${selectedIds.length} pages, Deshabilitar ${selectedIds.length} páginas
Disable ${selectedIds.length} coupons, Deshabilitar ${selectedIds.length} cupones
Disable ${selectedIds.length} customers, Deshabilitar ${selectedIds.length} clientes
Disable, Deshabilitar
Delivered, Entregado
delivering, entregando
Disable ${selectedIds.length} products, Deshabilitar ${selectedIds.length} productos
Display Name, Nombre para mostrar
Discount Type, Tipo de descuento
Default, Por defecto
Enabled, Habilitado
Enable, Habilitar
EverShop Admin Panel, Panel de administración de Badajoz
Enable?, ¿Habilitar?
Email, Correo electrónico
Enter customer emails, Introducir correos electrónicos de clientes
Enter purchased amount, Introduzca el importe de la compra
Enter coupon code, Introducir código de cupón
Enter description, Introducir descripción
Environment, Ambiente
Edit Tracking Info, Editar información de seguimiento
Edit Tracking Information, Editar información de seguimiento
Enable ${selectedIds.length} pages, Habilitar ${selectedIds.length} páginas
Enable ${selectedIds.length} customers, Habilitar ${selectedIds.length} clientes
Enable ${selectedIds.length} coupons, Habilitar ${selectedIds.length} cupones
EVERSHOP, BADAJOZ MARKETPLACE
End Date, Fecha de finalización
End date, Fecha de finalización
Editing ${attribute.attributeName}, Editando ${attribute.attributeName}
Editing ${category.name}, Editando ${category.name}
Editing ${product.name}, Editando ${product.name}
Editing ${page.name}, Editando ${page.name}
Editing ${customer.fullName}, Editando ${customer.fullName}
Editing #${order.orderNumber}, Editando #${order.orderNumber}
Editing ${coupon.coupon}, Editando ${coupon.coupon}
Enable ${selectedIds.length} products, Habilitar ${selectedIds.length} productos
Enter minimum purchase amount, Introduzca el importe mínimo de compra
Enter minimum purchase qty, Introduzca la cantidad mínima de compra
Featured Products, Productos destacados
featuredProducts, Productos destacados
Free shipping?, ¿Envío gratis?
Free shipping, Envío gratis
Full Name, Nombre completo
Fullfill ${selectedIds.length} orders, Cumplir con ${selectedIds.length} pedidos
Failed!, ¡Fallido!
Fixed discount to entire order, Descuento fijo para todo el pedido
Fixed discount to specific products, Descuento fijo para productos específicos
General, General
Groups, Grupos
Group, Grupo
Group name is required, El nombre del grupo es obligatorio
General, General
Home, Inicio
Hello, Hola
Higest tax rate based on cart items, Tasa de impuestos más alta basada en los artículos del carrito
Include In Store Menu, Incluir en el menú de la tienda
Include In Menu, Incluir en el menú
Is Required?, ¿Es Requerido?
Is Filterable?, ¿Es Filtrable?
items, elementos
Inventory, Inventario
Key, Llave
Layout, Disposición
Logout, Cerrar sesión
Live, Vivir
Logout failed, Error al cerrar sesión
Look like you just started. No bestsellers yet., Parece que acabas de empezar. No hay más vendidos todavía.
Lifetime Sales, Ventas de por vida
lifetime sale, ventas de por vida
Loading..., Cargando...
Manage stock?, ¿Gestionar stock?
Multiselect, Selección múltiple
Meta title, Título meta
Meta keywords, Palabras clave meta
Meta description, Descripción meta
